FamSize,Variance,StdDev
Size 2 Diff,3636.8287740628175,60.306125510289725
Size 3 Diff,1988.725655746932,44.595130403968234
Size 4 Diff,2252.910052910053,47.464829641641536
Size Over 4 Diff,484.06928965439613,22.001574708515665
